question_id,question,difficulty,generation_time_formatted,generation_time_seconds
0,What is the highest eligible free rate for K-12 students in the schools in Alameda County?,simple,1.79 วินาที,1.794691801071167
1,Please list the lowest three eligible free rates for students aged 5-17 in continuation schools.,moderate,1.81 วินาที,1.8066132068634033
2,Please list the zip code of all the charter schools in Fresno County Office of Education.,simple,0.79 วินาที,0.7935500144958496
3,What is the unabbreviated mailing street address of the school with the highest FRPM count for K-12 students?,simple,0.80 วินาที,0.7992501258850098
4,Please list the phone numbers of the direct charter-funded schools that are opened after 2000/1/1.,moderate,2.12 วินาที,2.1164212226867676
5,How many schools with an average score in Math greater than 400 in the SAT test are exclusively virtual?,simple,1.61 วินาที,1.6088860034942627
6,"Among the schools with the SAT test takers of over 500, please list the schools that are magnet schools or offer a magnet program.",simple,1.30 วินาที,1.2994248867034912
7,What is the phone number of the school that has the highest number of test takers with an SAT score of over 1500?,simple,0.99 วินาที,0.9905557632446289
8,What is the number of SAT test takers of the schools with the highest FRPM count for K-12 students?,simple,1.11 วินาที,1.107970952987671
9,"Among the schools with the average score in Math over 560 in the SAT test, how many schools are directly charter-funded?",simple,1.20 วินาที,1.2015128135681152
10,"For the school with the highest average score in Reading in the SAT test, what is its FRPM count for students aged 5-17?",simple,1.51 วินาที,1.5084571838378906
11,Please list the codes of the schools with a total enrollment of over 500.,simple,0.67 วินาที,0.6713440418243408
12,"Among the schools with an SAT excellence rate of over 0.3, what is the highest eligible free rate for students aged 5-17?",moderate,1.22 วินาที,1.2175700664520264
13,Please list the phone numbers of the schools with the top 3 SAT excellence rate.,simple,0.99 วินาที,0.9937520027160645
14,"List the top five schools, by descending order, from the highest to the lowest, the most number of Enrollment (Ages 5-17). Please give their NCES school identification number.",simple,0.80 วินาที,0.798781156539917
15,Which active district has the highest average score in Reading?,simple,0.99 วินาที,0.9905438423156738
16,How many schools in merged Alameda have number of test takers less than 100?,simple,1.20 วินาที,1.198944091796875
17,"Rank schools by their average score in Writing where the score is greater than 499, showing their charter numbers.",simple,0.99 วินาที,0.9932630062103271
18,How many schools in Fresno (directly funded) have number of test takers not more than 250?,simple,1.00 วินาที,1.004500150680542
19,What is the phone number of the school that has the highest average score in Math?,simple,0.78 วินาที,0.7834539413452148
20,How many schools in Amador which the Low Grade is 9 and the High Grade is 12?,simple,0.79 วินาที,0.7923920154571533
21,In Los Angeles how many schools have more than 500 free meals but less than 700 free or reduced price meals for K-12?,simple,0.91 วินาที,0.9056069850921631
22,Which school in Contra Costa has the highest number of test takers?,simple,1.09 วินาที,1.0866060256958008
23,List the names of schools with more than 30 difference in enrollements between K-12 and ages 5-17? Please also give the full street adress of the schools.,moderate,1.30 วินาที,1.296492099761963
24,Give the names of the schools with the percent eligible for free meals in K-12 is more than 0.1 and test takers whose test score is greater than or equal to 1500?,moderate,0.99 วินาที,0.9937918186187744
25,"Name schools in Riverside which the average of average math score for SAT is grater than 400, what is the funding type of these schools?",moderate,1.71 วินาที,1.7123510837554932
26,State the names and full communication address of high schools in Monterey which has more than 800 free or reduced price meals for ages 15-17?,moderate,2.23 วินาที,2.2276358604431152
27,"What is the average score in writing for the schools that were opened after 1991 or closed before 2000? List the school names along with the score. Also, list the communication number of the schools if there is any.",moderate,1.38 วินาที,1.3844101428985596
28,"Consider the average difference between K-12 enrollment and 15-17 enrollment of schools that are locally funded, list the names and DOC type of schools which has a difference above this average.",challenging,3.28 วินาที,3.282200813293457
29,When did the first-through-twelfth-grade school with the largest enrollment open?,simple,1.71 วินาที,1.707421064376831
30,Which cities have the top 5 lowest enrollment number for students in grades 1 through 12?,simple,1.73 วินาที,1.7286770343780518
31,What is the eligible free rate of the 10th and 11th schools with the highest enrolment for students in grades 1 through 12?,moderate,1.50 วินาที,1.5002219676971436
32,What is the eligible free or reduced price meal rate for the top 5 schools in grades 1-12 with the highest free or reduced price meal count of the schools with the ownership code 66?,moderate,1.20 วินาที,1.1978909969329834
33,"If there are any, what are the websites address of the schools with a free meal count of 1,900-2,000 to students aged 5-17? Include the name of the school.",moderate,1.20 วินาที,1.198002815246582
34,What is the free rate for students between the ages of 5 and 17 at the school run by Kacey Gibson?,moderate,1.13 วินาที,1.128788948059082
35,What is the administrator's email address of the chartered school with the fewest students enrolled in grades 1 through 12?,moderate,1.06 วินาที,1.0577940940856934
36,Under whose administration is the school with the highest number of students scoring 1500 or more on the SAT? Indicate their full names.,challenging,1.40 วินาที,1.4018402099609375
37,"What is the complete address of the school with the lowest excellence rate? Indicate the Street, City, Zip and State.",moderate,1.40 วินาที,1.4029228687286377
38,"What are the webpages for the Los Angeles County school that has between 2,000 and 3,000 test takers?",simple,1.30 วินาที,1.3029048442840576
39,What is the average number of test takers from Fresno schools that opened between 1/1/1980 and 12/31/1980?,simple,1.09 วินาที,1.0918278694152832
40,What is the telephone number for the school with the lowest average score in reading in Fresno Unified?,moderate,1.20 วินาที,1.1978559494018555
41,List the names of virtual schools that are among the top 5 in their respective counties based on average reading scores.,simple,1.91 วินาที,1.913764238357544
42,What is the type of education offered in the school who scored the highest average in Math?,simple,1.08 วินาที,1.0840809345245361
43,"What is the average math score of the school with the lowest average score for all subjects, and in which county is it located?",moderate,1.94 วินาที,1.940777063369751
44,What is the average writing score of the school who has the highest number of test takers whose total SAT sscores are greater or equal to 1500? Indicate the city to where the school is situated.,simple,1.54 วินาที,1.5403990745544434
45,What is the average writing score of each of the schools managed by Ricci Ulrich? List the schools and the corresponding average writing scores.,moderate,1.82 วินาที,1.8183469772338867
46,Which state special schools have the highest number of enrollees from grades 1 through 12?,simple,1.20 วินาที,1.200119972229004
47,What is the monthly average number of schools that opened in Alameda County under the jurisdiction of the Elementary School District in 1980?,moderate,1.71 วินาที,1.7098629474639893
48,What is the ratio of merged Unified School District schools in Orange County to merged Elementary School District schools?,moderate,1.09 วินาที,1.0904712677001953
49,Which different county has the most number of closed schools? Please provide the name of each school as well as the closure date.,moderate,1.09 วินาที,1.0937809944152832
50,What is the postal street address for the school with the 7th highest Math average? Indicate the school's name.,simple,0.99 วินาที,0.9916419982910156
51,In which mailing street address can you find the school that has the lowest average score in reading? Also give the school's name.,simple,1.40 วินาที,1.4049921035766602
52,What is the total number of schools whose total SAT scores are greater or equal to 1500 whose mailing city is Lakeport?,simple,2.73 วินาที,2.7297370433807373
53,How many test takers are there at the school/s whose mailing city address is in Fresno?,simple,1.09 วินาที,1.0917339324951172
54,Please specify all of the schools and their related mailing zip codes that are under Avetik Atoian's administration.,simple,1.51 วินาที,1.508937120437622
55,"Of the schools with a mailing state address in California, what is the ratio of the schools located in the county of Colusa against the school located in the county of Humboldt?",moderate,1.43 วินาที,1.4296586513519287
56,"Of all the schools with a mailing state address in California, how many are active in San Joaquin city?",simple,0.74 วินาที,0.7392959594726562
57,What is the phone number and extension number for the school that had the 333rd highest average writing score?,simple,0.77 วินาที,0.770179033279419
58,What is the phone number and extension number for the school with the zip code 95203-3704? Indicate the school's name.,simple,0.75 วินาที,0.7505819797515869
59,What is the website for the schools under the administrations of Mike Larson and Dante Alvarez?,simple,2.22 วินาที,2.222939968109131
60,What are the websites for all the partially virtual chartered schools located in San Joaquin?,simple,1.10 วินาที,1.0977821350097656
61,How many chartered schools located in the city of Hickman are owned by the Elementary School District?,simple,1.13 วินาที,1.1333839893341064
